
     Value of States and Choice Probabilities
     Fixed Group Index(f): 0. Random Group Index(r): 0
     ------------------------------------------------------------------------------
    Indx   T   A   m sch   t     r     f       EV      |Choice Probabilities:                           
    1032   1   1   2   7  12     0     0      10.257829 0.821763 0.178237 0.000000 0.000000
    1031   1   1   1   7  12     0     0      37.725670 0.733333 0.266667 0.000000 0.000000
    1030   1   1   0   7  12     0     0      36.436025 0.000003 0.999997 0.000000 0.000000
    1026   1   1   6   6  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
    1025   1   1   5   6  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
    1024   1   1   4   6  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
    1023   1   1   3   6  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
    1022   1   1   2   6  12     0     0      10.257829 0.821763 0.178237 0.000000 0.000000
    1021   1   1   1   6  12     0     0      37.725670 0.733333 0.266667 0.000000 0.000000
    1020   1   1   0   6  12     0     0      36.436025 0.000003 0.999997 0.000000 0.000000
    1017   1   1   7   5  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
    1016   1   1   6   5  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
    1015   1   1   5   5  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
    1014   1   1   4   5  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
    1013   1   1   3   5  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
    1012   1   1   2   5  12     0     0      10.257829 0.821763 0.178237 0.000000 0.000000
    1011   1   1   1   5  12     0     0      37.725670 0.733333 0.266667 0.000000 0.000000
    1010   1   1   0   5  12     0     0      36.436025 0.000003 0.999997 0.000000 0.000000
    1008   1   1   8   4  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
    1007   1   1   7   4  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
    1006   1   1   6   4  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
    1005   1   1   5   4  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
    1004   1   1   4   4  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
    1003   1   1   3   4  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
    1002   1   1   2   4  12     0     0      10.257829 0.821763 0.178237 0.000000 0.000000
    1001   1   1   1   4  12     0     0      37.725670 0.733333 0.266667 0.000000 0.000000
    1000   1   1   0   4  12     0     0      36.436025 0.000003 0.999997 0.000000 0.000000
     999   1   1   9   3  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     998   1   1   8   3  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     997   1   1   7   3  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     996   1   1   6   3  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     995   1   1   5   3  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
