
     Value of States and Choice Probabilities
     Fixed Group Index(f): 0. Random Group Index(r): 0
     ------------------------------------------------------------------------------
    Indx   T   A   m sch   t     r     f       EV      |Choice Probabilities:                           
   12502   3   1  22   0  39     0     0       1.327559 0.720733 0.279235 0.000033 0.000000
   12501   3   1  21   0  39     0     0       1.341722 0.710760 0.289208 0.000032 0.000000
   12500   3   1  20   0  39     0     0       1.368981 0.692298 0.307670 0.000031 0.000000
   12499   3   1  19   0  39     0     0       1.421838 0.659272 0.340698 0.000030 0.000000
   12498   3   1  18   0  39     0     0       1.525901 0.604120 0.395852 0.000027 0.000000
   12497   3   1  17   0  39     0     0       1.728595 0.524239 0.475738 0.000024 0.000000
   12496   3   1  16   0  39     0     0       2.097223 0.427900 0.572080 0.000019 0.000000
   12495   3   1  15   0  39     0     0       2.702658 0.327778 0.672207 0.000015 0.000000
   12494   3   1  14   0  39     0     0       3.603621 0.236069 0.763920 0.000011 0.000000
   12493   3   1  13   0  39     0     0       4.831638 0.162034 0.837958 0.000007 0.000000
   12492   3   1  12   0  39     0     0       6.377452 0.108380 0.891615 0.000005 0.000000
   12491   3   1  11   0  39     0     0       8.184275 0.071994 0.928002 0.000003 0.000000
   12490   3   1  10   0  39     0     0      10.147355 0.048190 0.951808 0.000002 0.000000
   12489   3   1   9   0  39     0     0      12.119327 0.033046 0.966953 0.000002 0.000000
   12488   3   1   8   0  39     0     0      13.924046 0.023720 0.976279 0.000001 0.000000
   12487   3   1   7   0  39     0     0      15.379476 0.018266 0.981733 0.000001 0.000000
   12486   3   1   6   0  39     0     0      16.326094 0.015444 0.984556 0.000001 0.000000
   12485   3   1   5   0  39     0     0      16.654598 0.014574 0.985425 0.000001 0.000000
   12484   3   1   4   0  39     0     0      16.326094 0.015444 0.984556 0.000001 0.000000
   12483   3   1   3   0  39     0     0      15.379476 0.018266 0.981733 0.000001 0.000000
   12482   3   1   2   0  39     0     0      13.924046 0.023720 0.976279 0.000001 0.000000
   12481   3   1   1   0  39     0     0      12.119327 0.033046 0.966953 0.000002 0.000000
   12480   3   1   0   0  39     0     0      10.147355 0.048190 0.951808 0.000002 0.000000
   12471   1   1  31   7  38     0     0       2.585230 0.722867 0.277101 0.000033 0.000000
   12470   1   1  30   7  38     0     0       2.631661 0.707954 0.292014 0.000032 0.000000
   12469   1   1  29   7  38     0     0       2.773036 0.668367 0.331603 0.000030 0.000000
   12468   1   1  28   7  38     0     0       3.246918 0.585125 0.414849 0.000027 0.000000
   12467   1   1  27   7  38     0     0       4.775351 0.494747 0.505231 0.000022 0.000000
   12466   1   1  26   7  38     0     0       8.950843 0.438878 0.561102 0.000020 0.000000
   12465   1   1  25   7  38     0     0      18.936288 0.392150 0.607832 0.000018 0.000000
   12464   1   1  24   7  38     0     0      40.765376 0.352818 0.647166 0.000016 0.000000
   12463   1   1  23   7  38     0     0      85.614086 0.329484 0.670501 0.000015 0.000000
   12462   1   1  22   7  38     0     0     173.459683 0.318621 0.681365 0.000014 0.000000
   12461   1   1  21   7  38     0     0     324.122811 0.266675 0.733313 0.000012 0.000000
   12460   1   1  20   7  38     0     0     497.582196 0.133342 0.866652 0.000006 0.000000
   12459   1   1  19   7  38     0     0     608.277039 0.063614 0.936383 0.000003 0.000000
   12458   1   1  18   7  38     0     0     638.100000 0.000000 1.000000 0.000000 0.000000
   12457   1   1  17   7  38     0     0     638.100000 0.000000 1.000000 0.000000 0.000000
   12456   1   1  16   7  38     0     0     638.100000 0.000000 1.000000 0.000000 0.000000
   12455   1   1  15   7  38     0     0     638.100000 0.000000 1.000000 0.000000 0.000000
   12454   1   1  14   7  38     0     0     638.100000 0.000000 1.000000 0.000000 0.000000
   12453   1   1  13   7  38     0     0     638.100000 0.000000 1.000000 0.000000 0.000000
   12452   1   1  12   7  38     0     0     638.100000 0.000000 1.000000 0.000000 0.000000
   12451   1   1  11   7  38     0     0     638.100000 0.000000 1.000000 0.000000 0.000000
   12450   1   1  10   7  38     0     0     638.100000 0.000000 1.000000 0.000000 0.000000
   12449   1   1   9   7  38     0     0     638.100000 0.000000 1.000000 0.000000 0.000000
   12448   1   1   8   7  38     0     0     638.100000 0.000000 1.000000 0.000000 0.000000
